PartNumber,Description,Cost,Price,OEM,Hollander
DCFM,GM 6.6L 2001-04 BL# 4133000505 HD# 587/687-3,450,1000,DCFM,5166
DCG1,GM 1.4L TURBO 2011-16 BL# 55577377 HD# 55573669/55565291,115,175,CAM12101/1.4 TURBO 0144 FAMO AF,5414A/B  5514
DCH4,"GM 5.7L 880/062,906 VORTEC 2-BOLT",350,450,L35096V2,5857A
DCH4-SB,GM 5.7L 880 BLOCK SHORTBLOCK,100,300,L35096V2,.
DCHE,GM 5.3L GEN III ALUM 243/799,75,2,,5953B
DCK2,"GM 7.4L 297/279,241 ROLLER CAM",400,650,L45498M6,5274
DCK5,"GM 4.3L Block - 196, 359, Heads - 181, 209, Crankshaft - 865, 640, 480",75,125,L4395W,NA
DCK7,GM 2.2L B:521 H: 391-S,75,150,L2296RWD,5322B 5322C
DCK9,"GM 4.3L Block - 14099090, Heads - 12556140, 10235772, Crankshaft - 865, 640, 480",50,150,L4396W,5943A
DCM2,"GM 5.0L Block - 878, Heads - 520, 059, Crankshaft - 14088526",200,375,L30596V2,5250
DCM5,"GM 5.7L/350 NO FPH- 880,638,548,148 block  810,191,193,187 heads non roller 4 bolt efi",200,325,L35086E4,5157A 5157X
DCM6,"GM 5.7L 638,880 / 191,193 NON ROLLER 2 BOLT",200,325,L35086E2,5157A 5157X
DCM7,"GM 5.0L/305 BLOCK 058,327 HEADS 187,081 ROLLER CAM W/O FUEL PUMP CBVC",75,150,L30587R,5150C
DCM9,"GM 5.7L 880/062,906 VORTEC 4-BOLT",350,450,L35096V4,5857A
DCM9s,GM 5.7L/350 SHORT BLOCK #880 4 BOLT MAIN,100,150,DCM9s,N/A
DCN7,GM 5.7L/350 BL# 638/548/148 HD# 217/083,150,200,,5057M 5157B
DCR9,"GM 5.7L LT1 B: 327 H 374, 561 CAMARO, FIREBIRD",150,,,15257A
DCRC,"GM 4.8L Block - 4.8/5.3L IV NO VVT, Heads - 243, 799 (1-4) 5 bump  RIVET, Crankshaft - 482/58 to...",250,400,L4807GMC,5548A 5548B
DCRC-LB,"GM 4.8L Block - 4.8/5.3L IV NO VVT, Heads - 243, 799 (1-4) 5 bump  RIVET, Crankshaft - 482/58 to...",200,400,L4807GMC,.
DCRE,"GM 4.8L Block - 4.8/5.3L IV WITH VVT, Heads - 243, 799 (1-4) 5 bump  RIVET, Crankshaft - 482/58 ...",250,400,L4810GMC,5648
DCRE-LB,"GM 4.8L Block - 4.8/5.3L IV WITH VVT, Heads - 243, 799 (1-4) 5 bump  RIVET, Crankshaft - 482/58 ...",200,400,L4810GMC,.
DCT1,"GM 5.7L LT1 B: 327 H: 290, 320 CAPRICE, ROADMASTER",75,,,15257D
DCT11,GM 6.0L GEN IV N/DOD W/VVT 823/5364 W/TC&OP,450,750,L6007GMC,15360A 15360B 15360D
